username,email,password,tier,profiles,payment,totp_secret
MrDunne,ryan.dunne9@det.nsw.edu.au,Baulko11!!,Heavy Cream,3,Visa-4891-2304-7568-1923,
hrizmi,habeb.rizmi@gmail.com,habebpw,Whipped Cream,2,Mastercard-5362-9174-2801-4637,CGHS6ZSMKUGQ4EZH4X4FJ46PKTDDAB73
bobsmith,bob.smith@email.com,Pass456!,Light Cream,1,Visa-4023-9845-7612-3087,
alicew,alice.wong@email.com,Pass789!,Heavy Cream,4,Amex-3714-4963-5398-4123,
charlieb,charlie.brown@email.com,PassABC!,Light Cream,1,Visa-4539-1203-9845-6721,
dianap,diana.prince@email.com,PassDEF!,Whipped Cream,3,Mastercard-5291-4836-2750-1942,
frankc,frank.castle@email.com,PassGHI!,Heavy Cream,4,Visa-4485-6623-1177-8045,
graceh,grace.hopper@email.com,PassJKL!,Whipped Cream,2,Amex-3416-7823-9054-6712,
henryj,henry.jones@email.com,PassMNO!,Light Cream,1,Mastercard-5369-2748-1905-3826,
sivarams,sivaram.sundaresan@email.com,PassPQR!,Heavy Cream,1,Visa-4928-0156-7304-8910,
